Warrant Market - Weekly,,,,,,,,,,,,
XAO 4925.9 at 16:34 1/4/2010  Report at 17:15 Thursday 1/4/2010. Processed 18:17 Thursday 1/4/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Weekly Volume,,,,
Equity Call Warrants ,,,,,,,,,,,,
Asciano Grp Last Sale Price $1.86,,,,,,,,,,,,
QBEIMC,9.50,19/05/10,1:1,11.64,11.75,11.78,67,2,,,,
QBEIMD,13.50,19/05/10,1:1,7.68,7.79,7.93,-,-,,,,
QBEIZQ,14.00,14/06/10,1:1,7.25,7.3,7.27,-14,29,,,,
QBEIOA,15.00,23/06/10,1:1,6.36,6.38,6.30,-38,30,,,,
QBESMU,5.64,30/06/10,1:1,15.49,-,16.82,-,-,,,,
QBESSR,12.12,30/06/10,1:1,9.13,9.14,9.16,-,-,,,,
QBEJMJ,16.13,30/06/10,1:1,5.7,5.81,5.74,-,-,,,,
QBEJMG,19.65,30/06/10,1:1,2.69,-,5.73,-,-,,,,
QBEMMH,22.05,30/06/10,1:1,0.935,-,4.41,-,-,,,,
QBEMMI,22.05,30/06/10,1:1,0.565,-,3.49,-,-,,,,
QBEJMH,25.00,30/06/10,1:1,0.7,-,9.70,-,-,,,,
QBEIOK,18.00,23/09/10,1:1,4.64,4.66,4.78,-11,28,,,,
QBEIMF,12.00,17/11/10,1:1,9.79,9.9,10.11,-2,20,,,,
QBEIMG,19.00,17/11/10,1:1,4.58,4.66,4.58,-32,180,,,,
QBEIOG,17.00,24/03/11,1:1,6.65,6.67,-,-,-,,,,
QBEISQ,19.07,31/03/11,1:1,6.61,-,9.21,-,-,,,,
QBEIZR,12.20,03/06/11,1:1,11.01,11.06,10.69,-,-,,,,
QBEIZW,12.20,03/06/11,1:1,11.01,11.06,11.44,-,-,,,,
