Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
Based on Market Capitalisation at close of trade Friday, April 10, 2015,,,,,,,,,,,,,,,,,,,,
"XAO 5935.4 at 2015-04-10T16:39:06. Report at Friday, April 10, 2015. Processed Saturday at 2015-04-11T23:15:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
91,93,AIZ,Air New Zealand,3.061,2.73,+10,2.90,1.595,11.15,,4.08,4.08,40.3,21.72,12.6,72.8,1.779,1.45,58.8,71.7,,
92,96,BTT,BT Invest Mgt,3.035,10.38,+78,10.44,5.65,35.00,p,3.37,3.88,94.4,49.10,21.1,101.8,4.183,.34,32.8,69.2,,
93,92,ABC,Adelaide Brighton,3.001,4.63,+7,4.71,3.12,17.00,f,3.67,5.24,3.0,26.90,17.2,18.6,2.538,1.35,16.0,21.1,,
94,90,QUB,Qube Holdings,2.952,2.80,-15,3.05,2.06,5.40,f,1.93,2.75,13.3,9.99,28.0,.2,2.145,.73,34.5,23.5,,
95,94,MLT,Milton Corp,2.952,4.61,+2,4.896,4.11,17.90,f,3.88,5.55,-100.0,19.76,23.3,5.6,1.211,4.60,13.4,19.9,,
96,95,SKI,Spark Infrastructure,2.918,1.99,+3.5,2.29,1.705,11.50,,5.78,5.78,4.5,9.10,21.9,-16.6,1.589,1.89,24.1,17.3,,
97,97,ORA,Orora,2.727,2.26,-5,2.44,1.322,6.50,,2.88,2.88,-,5.70,39.6,-,2.061,.95,77.4,-,,
98,98,PRY,Primary Health Care,2.704,5.28,-3,5.52,4.09,20.00,f,3.79,5.41,14.3,27.70,19.1,7.9,.939,1.38,11.6,25.4,,
99,99,PPT,Perpetual,2.667,57.26,+91,57.44,41.30,210.00,f,3.67,5.24,34.6,243.10,23.6,32.5,4.646,4.88,15.7,34.4,,
100,101,SPO,Spotless Group,2.625,2.39,+12,2.39,1.64,4.50,,1.88,1.88,-,5.50,43.5,-,3.451,-.22,-,-,,
101,100,DLX,DuluxGroup,2.533,6.52,+1,6.61,5.11,20.50,f,3.14,4.49,17.1,28.10,23.2,12.9,8.299,.17,12.7,33.0,,
102,103,CAR,Carsales.com,2.441,10.19,-1,11.62,9.35,49.80,f,4.89,6.98,13.4,41.30,24.7,13.6,13.265,.22,-.9,27.4,,
103,105,IOF,Investa Office Fd,2.401,3.91,-,4.34,3.225,18.80,,4.81,4.81,4.2,36.98,10.6,49.1,1.214,3.42,32.4,24.1,,
